No,Style Category,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Conversion-Focused,Framework Compatibility,Era/Origin,Complexity,AI Prompt Keywords,CSS/Technical Keywords,Implementation Checklist,Design System Variables
117,Voice-First,Audio,"voice nebula, glowing orb","#0b0c15;#1a1b2e","#7000ff; #00c3ff","box-shadow: 0 0 100px rgba(112,0,255,0.5); animation: pulse","AI Assistants;Audio Apps",Libraries,FALSE,TRUE,Medium,Medium,TRUE,TRUE,"Canvas API","2026 (Voice UI)",High,"glowing pulsing orb visualizer nebulas","keyframes box-shadow blur","Sync animation to audio;Use radial gradients;Keep center focused","--glow-primary: #7000ff;--pulse-duration: 2s"
118,AI-Native,Anticipatory,"predictive intelligence, shimmer","#FFFFFF;#F8F9FA","#E9ECEF","background-size: 200%; animation: shimmer 2s linear infinite","Search;Command Palettes","Static Reading",TRUE,TRUE,High,High,TRUE,TRUE,Tailwind,"2025 (Copilot Style)",Low,"subtle shimmering suggestion ui ghost text","background-position linear-gradient","Use skeleton loaders style;Subtle text colors;Dismissible interactions","--shimmer-color: rgba(0,0,0,0.05);--speed: 1.5s"
119,Surreal,Artistic,"surreal realism, vivid","#ff0055;#00ffaa;#ffff00","filter: contrast(1.2) saturate(1.5)","Creative Portfolios;Fashion","Enterprise SaaS",TRUE,TRUE,Low,Low,TRUE,FALSE,WebGL,"2026 (Gen Z Aesthetics)",High,"vivid surreal colors distorted textures dreamlike","filter mix-blend-mode contrast","Use high-res assets;Bold color clashes;Unexpected layouts","--adjust-contrast: 120%;--adjust-saturate: 150%"
120,Spatial,Immersive,"immersive 3d realm, product","#000000;#222222","#ffffff","transform: rotateY(15deg); perspective: 1000px","E-commerce;Showrooms","News Sites",TRUE,TRUE,Low,Medium,TRUE,TRUE,Three.js,"2026 (Spatial Commerce)",High,"interactive 3d product view floating spatial","perspective transform-style","Optimize 3D models;Support gestures;Fallback for 2D","--perspective-depth: 1000px;--rotation-y: 15deg"
121,Typography,Expressive,"kinetic typography, bold","#000000;#ffffff","#ff3300","font-variation-settings: 'wght' 900, 'wdth' 100","Agency Sites;Promos","Legal Docs",TRUE,TRUE,Medium,High,TRUE,TRUE,GSAP,"2025 (Motion Type)",Medium,"animated variable fonts kinetic text motion","font-variation-settings requestAnimationFrame","Use variable fonts;Animate axes (weight/width);Keep readable","--font-weight-anim: 900;--font-width-anim: 100"
122,Interaction,Micro,"micro-pulse interactions, tactile","#F2F2F2;#E6E6E6","#007AFF","transform: scale(0.98); transition: all 0.1s","Productivity;Mobile OS","Passive Browsing",TRUE,TRUE,High,High,TRUE,TRUE,CSS,"2026 (Haptic Visuals)",Low,"subtle button press scale tactile feedback micro-interaction","transform scale transition","Instant feedback (<100ms);Subtle scale down;Restore on release","--scale-tap: 0.98;--duration-tap: 0.1s"
123,Navigation,Experimental,"experimental navflux, morphing","#111;#222","#00ff88","clip-path: circle(50% at 50% 50%)","Creative Blogs;Galleries","Gov Sites",FALSE,TRUE,Medium,Low,TRUE,FALSE,"SVG;React","2026 (Fluid Nav)",High,"fluid blob navigation morphing menu path","clip-path d-path morphological","Use SVG paths;Ensure hit areas generally accessible;Smooth Easing","--path-morph: circle(100%);--ease-elastic: cubic-bezier(0.68, -0.55, 0.265, 1.55)"
124,Retro,Pixel,"pixel nostalgia, charts","#e0e0e0;#c0c0c0","#0000aa","image-rendering: pixelated","Crypto;Gaming",Healthcare,TRUE,FALSE,High,Medium,TRUE,FALSE,Canvas,"2025 (Web3 Retro)",Medium,"pixel art charts retro interface 8-bit","image-rendering crisp-edges","Disable anti-aliasing;Use limited palette;Monospace fonts","--pixel-render: pixelated;--palette-bit: #0000aa"
125,Dynamic,High-Energy,"high-energy vortex, swirls","#000000;#1a0b2e","#ff00cc; #00ffff","background: conic-gradient(from 0deg, ...)","Entertainment;Events",Banking,FALSE,TRUE,Low,Low,TRUE,FALSE,WebGL,"2026 (Cyber Rave)",High,"swirling vortex energetic background dynamic colors","conic-gradient animation-spin","Avoid seizure triggers;Optimize canvas;Use overlay text bg","--spin-duration: 10s;--vortex-center: #1a0b2e"
126,Hybrid,XR,"mixed reality blend, passthrough","transparent;rgba(255,255,255,0.1)","#ffffff","backdrop-filter: blur(10px)","AR Apps;Utilities",Desktop-only,TRUE,TRUE,High,Medium,TRUE,TRUE,"SwiftUI;WebXR","2026 (Passthrough UI)",Medium,"glass panels for mixed reality camera passthrough","backdrop-filter opacity","Design for variable backgrounds;High contrast text;Float interactables","--passthrough-tint: rgba(255,255,255,0.1);--text-shadow: 0 1px 2px rgba(0,0,0,0.5)"
127,AI-Native,Autonomous,"agentic ai flow, chat","#f7f7f8;#ffffff","#10a37f","border-left: 3px solid #10a37f; padding-left: 1rem","AI Tools;Chatbots","Static Sites",TRUE,TRUE,High,High,TRUE,TRUE,React,"2026 (Agent UI)",Medium,"clean chat stream with thought process indicators","border-left keyframes-fade","Distinguish AI vs User;Show 'Thinking' states;Stream text","--agent-border: #10a37f;--thinking-opacity: 0.7"
128,Dark,Luminous,"dark lumina mode, soft glow","#000000;#121212","#bb86fc","box-shadow: 0 4px 20px rgba(187,134,252,0.15)","Media Apps;Streaming","Daytime Tools",FALSE,TRUE,High,High,TRUE,TRUE,CSS,"2026 (OLED Optimized)",Low,"deep black background with soft purple glow accents","box-shadow rgba","Use pure black #000000 for OLED;Soft colored shadows;White text","--bg-oled: #000000;--glow-accent: rgba(187,134,252,0.15)"
129,Maximalist,Chaos,"maximalist chaos, layered","#ffff00;#ff00ff;#00ffff","#000000","z-index: random; mix-blend-mode: difference","Campaigns;Art",Enterprise,TRUE,TRUE,Low,Low,FALSE,FALSE,"CSS Grid","2025 (Anti-Design)",High,"chaotic overlapped layout bold colors clashing","grid-area z-index mix-blend-mode","Use CSS Grid overlap;Bold borders;High saturation","--blend-mode: difference;--layer-spacing: -20px"
130,Spatial,Gesture,"spatial gesture wave, hands","transparent;#ffffff","rgba(255,255,255,0.3)","cursor: grab; :active { cursor: grabbing }","Kiosks;Smart Home","Data Entry",TRUE,TRUE,High,Medium,TRUE,TRUE,"Touch Events","2026 (Air Gestures)",Medium,"large touch targets for gesture control spatial feedback","touch-action user-select","Make targets >44px;Visual feedback on hover/grab;Physics based","--cursor-grab: grab;--feedback-scale: 0.95"
131,Emotional,Adaptive,"emotional vibe weave, mood","#fff0f5;#e6e6fa","#ffb6c1","transition: background-color 2s ease","Journaling;Mental Health","Stock Trading",TRUE,TRUE,High,High,TRUE,TRUE,"React Context","2026 (Affective Computing)",Medium,"soft color transitions mood based background","transition linear-gradient","Slow transitions;Pastel palettes;Organic shapes","--mood-transition: 2s ease;--calm-color: #e6e6fa"
132,Neumorphic,Glow,"neumorphic glow, soft embossed","#E0E5EC;#E0E5EC","#ffffff","box-shadow: 9px 9px 16px rgb(163,177,198,0.6), -9px -9px 16px rgba(255,255,255,0.5)","IoT Controls;Dashboards",Text-heavy,TRUE,FALSE,High,High,TRUE,TRUE,CSS,"2026 (Luminous Neumorphism)",Medium,"soft embossed plastic look with inner light","box-shadow inset","Double shadows (light/dark);Low contrast bg;Simulate extruded plastic","--shadow-light: rgba(255,255,255,0.5);--shadow-dark: rgba(163,177,198,0.6)"
133,Sci-Fi,Particles,"holo-particle fields, data","#000000;#001100","#00ff00","canvas-render: particles","Cybersecurity;Analytics",E-commerce,FALSE,TRUE,Low,Medium,TRUE,FALSE,Three.js,"2026 (Matrix Style)",High,"floating data particles matrix rain holographic","requestAnimationFrame canvas","Optimize particle count;Green/Black palette;Depth of field","--particle-color: #00ff00;--density: high"
134,Organic,Biomimicry,"bio-adaptive skin, fluid","#f4f1ea;#e6e2d3","#8b4513","border-radius: 40% 60% 70% 30% / 40% 50% 60% 50%","Nature Apps;Biology",Corporate,TRUE,TRUE,Low,High,TRUE,TRUE,CSS,"2025 (Organic UI)",Medium,"fluid organic shapes blob border-radius animate","border-radius animation-morph","Use asymmetric border-radius;Earth tones;Natural textures","--blob-shape: 40% 60% 70% 30%;--earth-tone: #8b4513"
135,Quantum,Physics,"quantum ripple effects, touch","#0a0a12;#151525","rgba(0, 255, 255, 0.5)","background: radial-gradient(circle, ...)","Quantum Computing;Science","Standard Forms",FALSE,TRUE,Medium,Low,TRUE,FALSE,"JS;Canvas","2026 (Physics UI)",High,"ripple effect on click wave propagation interference","radial-gradient animation-ripple","Accurate wave physics;Cold colors;Canvas overlay","--ripple-color: cyan;--wave-speed: 0.4s"
136,Neuro,Data,"neural link viz, nodes","#000000;#050505","#ff0055","line-connect: svg-path","BCI;Medical Research",Blogs,FALSE,TRUE,Low,Low,TRUE,FALSE,D3.js,"2026 (Connectome)",High,"network graph visualization nodes connections glow","stroke-width marker-end","Use SVG lines;Force-directed graph layout;Glow effects","--node-color: #ff0055;--link-opacity: 0.2"
137,Eco,Sustainable,"eco-spatial harmony, green","#f0fff4;#c6f6d5","#2f855a","background-image: url('noise.png'); mix-blend-mode: multiply","Climate Tech;Donations",luxury,TRUE,TRUE,High,High,TRUE,TRUE,CSS,"2026 (Solarpunk)",Low,"textured paper green gradients nature harmony","mix-blend-mode background-image","Use grain texture;Serif fonts;Green scales","--texture-grain: url(noise);--leaf-green: #2f855a"
138,Retro,Cyber,"cyber-pastel asymmetry, jagged","#ffccff;#ccffff","#ff00ff","clip-path: polygon(0 0, 100% 0, 100% 80%, 80% 100%, 0 100%)","Fashion;Indie Games",Enterprise,TRUE,TRUE,Medium,Medium,FALSE,TRUE,CSS,"2026 (Y2K Evolved)",Medium,"jagged edges pastel neon asymmetrical layout","clip-path polygon","Hard clipped edges;Pastel neons;Unbalanced grids","--clip-notch: polygon(...);--neon-pastel: #ffccff"
139,Retro,Vaporwave,"vaporwave holo grid","#2b002b;#1a001a","#00ffff; #ff00ff","background-image: linear-gradient(0deg, transparent 24%, rgba(255, 0, 255, .3) 25%, rgba(255, 0, 255, .3) 26%, transparent 27%, transparent 74%, rgba(255, 0, 255, .3) 75%, rgba(255, 0, 255, .3) 76%, transparent 77%, transparent)","Music;Culture",Corporate,FALSE,TRUE,Low,Medium,TRUE,FALSE,CSS,"2010s (Revival)",Medium,"perspective grid sunset gradients retro holo","perspective linear-gradient","Pink/Blue gradients;Perspective plane;Glitch text","--grid-line: rgba(255,0,255,0.3);--sun-gradient: linear-gradient(to top, #ff00ff, #ffff00)"
140,Atmospheric,Fog,"tactile fog layers, depth","#333333;#444444","#ffffff","mask-image: linear-gradient(to bottom, black, transparent)","Mystery games;Story","Data Tables",TRUE,TRUE,Low,Low,TRUE,TRUE,CSS,"2026 (Atmospheric)",Medium,"misty fading content layers mysterious depth","mask-image opacity","Use mask-image for fade;Low contrast text;Layered z-index","--fog-mask: linear-gradient(...);--depth-layer: 10"
141,AI-Native,Personal,"ai symbiosis core, avatar","#ffffff;#f0f4f8","#3b82f6","border-radius: 50%; box-shadow: 0 0 0 4px rgba(59, 130, 246, 0.2)","Personal Assistants;Identity",Anonymous,TRUE,TRUE,High,High,TRUE,TRUE,React,"2026 (Avatar UI)",Low,"central avatar pulsing connection symbiosis","box-shadow scale","Centralize User/AI identity;Pulse animation;Soft blues","--avatar-ring: rgba(59, 130, 246, 0.2);--symbiosis-blue: #3b82f6"
142,Motion,Choreography,"gesture symphony, orchestral","#000000;#111111","#d4af37","transition: all 0.6s cubic-bezier(0.22, 1, 0.36, 1)","Luxury;Art",Utility,FALSE,TRUE,Medium,Medium,TRUE,TRUE,"Framer Motion","2026 (Elegant Motion)",High,"orchestrated stagger animations smooth ease","staggerChildren cubic-bezier","Use stagger delays;Custom cubic-bezier;Gold/Black","--ease-symphony: cubic-bezier(0.22, 1, 0.36, 1);--stagger: 0.1s"
143,Data,Sculptural,"luminous data sculpt, 3d","#1a202c;#2d3748","#63b3ed","filter: drop-shadow(0 0 10px rgba(99, 179, 237, 0.5))","Analytics;Science",Blog,FALSE,TRUE,Low,Medium,TRUE,FALSE,Three.js,"2026 (Data Art)",High,"glowing 3d bars charts sculptural","drop-shadow mesh-material","Emissive materials;Bloom effect;Interactive rotation","--sculpt-glow: rgba(99, 179, 237, 0.5);--bar-color: #63b3ed"
144,Gradient,Fluid,"dreamweaver gradients, surreal","#ff9a9e;#fad0c4;#a18cd1","background: linear-gradient(120deg, #a18cd1 0%, #fbc2eb 100%)","Landing Pages;Portfolios",Dashboards,TRUE,TRUE,Medium,High,TRUE,TRUE,CSS,"2025 (Dreamy)",Low,"soft pastel fluid gradients dreamlike","linear-gradient background-attachment","Multi-stop gradients;Pastel/Pink/Purple;Full screen","--gradient-dream: linear-gradient(120deg, ...);--text-contrast: dark"
145,AR,Commerce,"ar retail mirage, preview","#ffffff;#f8f9fa","#000000","mix-blend-mode: multiply","Fashion;Retail",Services,TRUE,TRUE,High,High,TRUE,TRUE,WebXR,"2026 (Virtual Try-On)",High,"camera overlay product preview mirage","video-element canvas","Access camera;Overlay 3D model;Clear CTAs","--brand-black: #000000;--ui-overlay: white"
146,Voice,Interactive,"voice aura fields, expanding","#ffffff;#fafafa","#7c3aed","transform: scale(1.5); opacity: 0","Voice Command;Smart Home",Reading,TRUE,TRUE,High,Medium,TRUE,TRUE,CSS,"2026 (Aura UI)",Medium,"expanding rings on voice input aura","keyframes scale opacity","Expanding concentric circles;Violet/Purple;Fade out","--aura-color: #7c3aed;--expand-duration: 2s"
147,Pixel,Industrial,"brutal pixel forge, raw","#2d2d2d;#1a1a1a","#ff4500","border: 4px solid #1a1a1a; box-shadow: 4px 4px 0 #000","Tech;DevOps",Beauty,TRUE,TRUE,High,High,TRUE,FALSE,CSS,"2025 (Industrial Retro)",Low,"thick borders pixelated raw industrial orange","border-style outset","Thick borders;Orange/Grey;System fonts","--border-thick: 4px;--forge-orange: #ff4500"
148,Micro,Ethereal,"ethereal micro-orbs, floating","#f0f8ff;#e6f2ff","#00bfff","animation: float 6s ease-in-out infinite","Chat;Notifications",Enterprise,TRUE,TRUE,High,High,TRUE,TRUE,CSS,"2026 (Tiny Magic)",Low,"tiny floating status orbs gentle motion","translateY keyframes","Subtle vertical float;Light Cyan;Small radius","--float-dist: 10px;--orb-color: #00bfff"
149,Contextual,Warm,"contextual ember glow, fire","#1a0500;#330a00","#ff4500","box-shadow: 0 -10px 40px -10px rgba(255, 69, 0, 0.5)","Night Mode;Reading",Finance,FALSE,TRUE,High,High,TRUE,TRUE,CSS,"2026 (Warm Dark Mode)",Medium,"bottom up warm glow amber light","box-shadow inset","Bottom glow;Amber/Red;Low blue light","--ember-color: #ff4500;--glow-position: bottom"
150,Niche,Medical,"niche neuro-healthcare, clean","#f8fafc;#f1f5f9","#0ea5e9","border: 1px solid #e2e8f0; border-left: 4px solid #0ea5e9","Hospitals;Patient Portals",Games,TRUE,TRUE,High,High,TRUE,TRUE,Tailwind,"2026 (Trusted Med)",Low,"clinical clean blue accents trusted layout","border-color white-space","White/Slate/Blue;Clear typography;Status borders","--med-blue: #0ea5e9;--slate-bg: #f8fafc"
151,Fintech,Holo,"fintech holo-ledger, transparent","#0f172a;#1e293b","#38bdf8","background: rgba(15, 23, 42, 0.8); backdrop-filter: blur(12px)","Crypto;Banking","Kids Apps",FALSE,TRUE,Medium,High,TRUE,TRUE,CSS,"2026 (DeFi UI)",Medium,"dark glass transparent tables data","backdrop-filter border-top","Dark glass;Blue accents;Type-checking fonts","--glass-dark: rgba(15,23,42,0.8);--ledger-blue: #38bdf8"
152,Gaming,Immersive,"gaming vortex realms, spiral","#220022;#440044","#ff00ff","background: radial-gradient(circle at center, #440044, #000000)","Game Launchers;Esports",Corp,FALSE,TRUE,Medium,Low,TRUE,FALSE,WebGL,"2026 (Gamer Aesthetic)",High,"deep purple vortex immersive portal","radial-gradient canvas","Purple/Black;Center focus;Particle effects","--vortex-purple: #440044;--void-black: #000000"
153,Education,Spatial,"edu-spatial galaxy, nodes","#000011;#000033","#ffff00","transform: translate3d(0,0,0)","LMS;EdTech",E-commerce,TRUE,TRUE,Low,High,TRUE,TRUE,Three.js,"2026 (Space Learning)",High,"orbiting knowledge nodes galaxy view","transform-3d animation-orbit","Starfield bg;Yellow highlights;Orbit controls","--galaxy-bg: #000011;--star-yellow: #ffff00"
154,Auto,AR,"auto-ar dashboard, gauge","#000000;#111111","#00ff00","border: 2px solid #00ff00; border-radius: 50%","Automotive;Navigation",Blog,FALSE,TRUE,High,Low,TRUE,FALSE,Canvas,"2026 (Car UI)",Medium,"circular gauges hud green ar overlay","arc line-width","High contrast green;Circular layout;Large text","--hud-green: #00ff00;--gauge-width: 4px"
155,Fashion,Virtual,"fashion phantom fit, overlay","#ffffff;#000000","#ff0000","mix-blend-mode: screen","Clothing;Retail",B2B,TRUE,TRUE,Medium,High,TRUE,TRUE,WebAR,"2026 (Style Fit)",High,"ghost overlay on camera virtual fit","mix-blend-mode video","Screen blend mode;Red outlines;Camera feed","--outline-red: #ff0000;--phantom-opacity: 0.5"
156,Medical,Voice,"med-voice bio-scan, waveform","#000000;#002200","#00ff00","height: 100%; animation: waveform 1s infinite","Diagnostics;Telehealth",Social,FALSE,TRUE,High,High,TRUE,TRUE,Canvas,"2026 (Bio UI)",Medium,"moving green waveform biometric scan","keyframes scale-y","Green oscillating bars;Black bg;Mono numbers","--wave-green: #00ff00;--scan-speed: 1s"
157,Finance,Quantum,"quantum finance flux, probability","#ffffff;#f3f4f6","#6366f1","background: conic-gradient(from 180deg at 50% 50%, #6366f1, #e0e7ff)","Trading Pro;Quantum Fin","Basic Banking",TRUE,TRUE,Medium,High,TRUE,TRUE,D3.js,"2026 (Quantum Quant)",High,"probabilistic heatmaps flux charts gradient","conic-gradient svg","Indigo/White;Heatmap visuals;Probability clouds","--flux-indigo: #6366f1;--prob-light: #e0e7ff"
158,Food,Sensory,"culinary holo-savor, steam","#222222;#333333","#ffaa00","filter: blur(5px); transform: translateY(-10px)","Restaurant;Menu",Corporate,TRUE,TRUE,Medium,High,TRUE,TRUE,CSS,"2026 (Tasty UI)",Medium,"rising steam animation heat warp warm","filter-blur transform-up","Warm lighting;Steam particles;Food photography","--savor-orange: #ffaa00;--steam-blur: 5px"
159,Eco,Morph,"sustain-eco morph, growth","#ecfdf5;#d1fae5;#10b981","transition: border-radius 1s ease-out","Sustainability;Tracking",Gaming,TRUE,TRUE,High,High,TRUE,TRUE,CSS,"2026 (Living UI)",Medium,"growing shapes organic morphing green","border-radius transition","Emerald greens;Box growth;Leaf shapes","--eco-emerald: #10b981;--growth-ease: ease-out"
160,Fintech Pro,Dashboard,"Trust, precise, secure, deep blue, gold accents, tabular","Deep Navy #0A1929, Trust Blue #007FFF, Gold #FFD700","Slate Grey #64748B, Success Green #10B981, Error Red #EF4444","Subtle shadows, clean borders, crisp typography","Banking, Trading, Crypto, Financial Reports","Playful, Casual",TRUE,TRUE,High,High,TRUE,High,"React, Vue",2025 Fintech,High,"Deep navy background, trust blue primary, gold accents, high-density data tables","background: #0A1929, color: #F8FAFC, border: 1px solid #1E293B, font-family: 'Inter', tabular-nums","Data density high;Numbers monospaced;Gold accents used sparingly","--bg-navy: #0A1929;--accent-gold: #FFD700;--text-slate: #94A3B8;--border-subtle: #1E293B"
161,SaaS Launch,Landing Page,"Vibrant, converting, hero-centric, gradient blobs, clean white","Vibrant Purple #7C3AED, Success Teal #14B8A6, Dark Text #111827","Soft Gray #F3F4F6, Warning Orange #F59E0B","Float animations, soft drop shadows, gradient text","SaaS marketing, Startup launches, Mobile app landing","Enterprise Data, Internal Tools",TRUE,TRUE,High,High,TRUE,High,"Next.js, Tailwind",2025 SaaS,Medium,"Vibrant purple primary, gradient text headers, floating element animations, clean white background","background: gradient-to-br, box-shadow: 0 20px 25px -5px rgba(0,0,0,0.1), animation: float, backdrop-filter: blur(10px)","Hero section engaging;Pricing table clear;CTA vibrant","--primary-purple: #7C3AED;--success-teal: #14B8A6;--hero-gradient: linear-gradient(135deg, #7C3AED 0%, #2563EB 100%)"
162,Lime & Obsidian,General,"High contrast, dark mode, neon lime, geometric, sharp","Obsidian Black #09090B, Neon Lime #D9F99D, Pure White #FFFFFF","Code Grey #27272A, Terminal Green #22C55E","Glow effects (lime), sharp borders (1px)","Developer tools, CLI docs, Code editors","Traditional banking, Non-technical users",FALSE,TRUE,Maximum,High,TRUE,High,"Svelte, Astro",2025 DevTools,Medium,"Obsidian black background, neon lime accents, sharp 1px borders, high contrast white text, monospace accents","background: #09090B, border: 1px solid #D9F99D, color: #FFFFFF, box-shadow: 0 0 0 1px #27272A, font-family: 'JetBrains Mono'","Contrast high;Lime accents visible;Borders sharp","--bg-obsidian: #09090B;--accent-lime: #D9F99D;--border-sharp: 1px solid #3F3F46"
